Distribuição por percentis do Indicador per Capita (IpC) registado nos municípios, 2017;;;;;;;;
;;;;;;;;
;27;;Pedrógão Grande;;;11;;Freixo de Espada à Cinta
;;;Arcos de Valdevez;;;;;Calheta (R.A.M.)
;;;Ferreira do Zêzere;;;;;Pinhel
;26;;Idanha-a-Nova;;;10;;Vila Nova de Paiva
;;;Aguiar da Beira;;;;;Montalegre
;;;Alcoutim;;;;;Nordeste
;25;;Miranda do Corvo;;;9;;Vila Flor
;;;Figueira de Castelo Rodrigo;;;;;Penedono
;;;Vieira do Minho;;;;;Torre de Moncorvo
;24;;Vila Verde;;;8;;Vimioso
;;;Alvito;;;;;Meda
;;;Mértola;;;;;Melgaço
;23;;Trancoso;;;7;;Sabrosa
;;;Alvaiázere;;;;;Monchique
;;;Moimenta da Beira;;;;;Murça
;22;;Paredes de Coura;;;6;;Sátão
;;;Alfândega da Fé;;;;;Mondim de Basto
;;;Povoação;;;;;Penamacor
;21;;Vila de Rei;;;5;;São Vicente
;;;Castanheira de Pêra;;;;;Boticas
;;;Castelo de Paiva;;;;;Resende
;20;;Gouveia;;;4;;Valpaços
;;;Cabeceiras de Basto;;;;;Fornos de Algodres
;;;Celorico da Beira;;;;;Santa Marta de Penaguião
;19;;Figueiró dos Vinhos;;;3;;Sernancelhe
;;;Marvão;;;;;Câmara de Lobos
;;;Portel;;;;;Penalva do Castelo
;18;;Vila Franca do Campo;;;2;;Santana
;;;Castro Daire;;;;;Baião
;;;São João da Pesqueira;;;;;Porto Moniz
;17;;Vila do Bispo;;;1;;Vinhais
;;;Alandroal;;;;;Celorico de Basto
;;;Pampilhosa da Serra;;;;;Cinfães
;16;;Ponte da Barca;;;;;Ponta do Sol
;;;;;;;;Tabuaço
;;;;;;;;
;;;;;;;;
