ordem;nivel;cod_dim2;Zona Geográfica;População residente - Total;População residente - H;População residente - M;População presente - Total;População presente - H;População presente - M;Famílias - Clássicas ;Famílias - Institucionais;Núcleos familiares ;Alojamentos familiares - Total ;Alojamentos familiares - Clássicos;Alojamentos familiares - Não clássicos;Alojamentos colectivos;Edifícios clássicos
272493000;5;811;                    Portimão;55614;26853;28761;56530;27522;29008;22740;25;17012;46943;46887;56;138;14921
272494000;6;81101;                        Alvor;6154;3011;3143;7371;3768;3603;2462;3;1882;7327;7320;7;24;3234
272771000;6;81102;                        Mexilhoeira Grande;4029;2000;2029;3946;1949;1997;1541;4;1244;2724;2716;8;3;2399
272931000;6;81103;                        Portimão;45431;21842;23589;45213;21805;23408;18737;18;13886;36892;36851;41;111;9288
273888000;5;812;                    São Brás de Alportel;10662;5232;5430;10322;5043;5279;4286;2;3336;6562;6552;10;14;4958
273889000;6;81201;                        São Brás de Alportel;10662;5232;5430;10322;5043;5279;4286;2;3336;6562;6552;10;14;4958
274158000;5;813;                    Silves;37126;18525;18601;36887;18416;18471;14969;15;11599;32558;32522;36;59;18183
274159000;6;81301;                        Alcantarilha;2540;1247;1293;2674;1315;1359;999;2;778;1700;1700;0;7;1398
274276000;6;81302;                        Algoz;3831;1923;1908;3656;1825;1831;1505;1;1214;2347;2345;2;3;1866
274393000;6;81303;                        Armação de Pêra;4867;2397;2470;5033;2473;2560;2007;1;1467;11255;11251;4;9;1651
274546000;6;81304;                        Pêra;2432;1206;1226;2358;1156;1202;976;0;750;2245;2242;3;3;1714
274664000;6;81305;                        São Bartolomeu de Messines;8430;4212;4218;8275;4156;4119;3462;4;2713;5807;5800;7;13;4839
274992000;6;81306;                        São Marcos da Serra;1352;697;655;1346;695;651;642;0;419;1163;1161;2;1;1095
275088000;6;81307;                        Silves;11014;5506;5508;11009;5527;5482;4359;7;3422;6521;6511;10;22;4652
275356000;6;81308;                        Tunes;2660;1337;1323;2536;1269;1267;1019;0;836;1520;1512;8;1;968
275423000;5;814;                    Tavira;26167;12814;13353;27060;13313;13747;10603;11;8294;25313;25292;21;59;15144
275424000;6;81401;                        Cachopo;716;359;357;717;360;357;347;1;222;842;842;0;1;840
275485000;6;81402;                        Conceição;1438;718;720;1431;713;718;632;0;470;2219;2219;0;1;1138
275571000;6;81403;                        Luz;3355;1645;1710;3321;1617;1704;1353;2;1088;2396;2392;4;4;2090
275650000;6;81404;                        Santa Catarina da Fonte do Bispo;1809;911;898;1826;923;903;732;1;584;1429;1429;0;5;1396
275743000;6;81405;                        Tavira (Santa Maria);8836;4266;4570;9319;4497;4822;3543;3;2764;7325;7319;6;21;3733
276046000;6;81406;                        Tavira (Santiago);6297;3054;3243;6235;3076;3159;2470;4;1976;4216;4213;3;16;2126
276177000;6;81407;                        Santo Estêvão;1180;594;586;1174;589;585;494;0;395;963;960;3;3;946
276233000;6;81408;                        Santa Luzia;1455;727;728;1387;697;690;582;0;459;2274;2271;3;1;1229
276301000;6;81409;                        Cabanas de Tavira;1081;540;541;1650;841;809;450;0;336;3649;3647;2;7;1646
276405000;5;815;                    Vila do Bispo;5258;2624;2634;5673;2843;2830;2286;1;1595;5903;5887;16;76;5184
276406000;6;81501;                        Barão de São Miguel;451;231;220;485;244;241;201;0;137;488;484;4;18;476
276455000;6;81502;                        Budens;1520;763;757;1588;800;788;683;0;476;2614;2612;2;24;2275
276655000;6;81503;                        Raposeira;460;232;228;496;255;241;222;0;135;528;524;4;2;480
276730000;6;81504;                        Sagres;1909;943;966;2162;1075;1087;787;1;568;1580;1577;3;25;1349
276827000;6;81505;                        Vila do Bispo;918;455;463;942;469;473;393;0;279;693;690;3;7;604
276919000;5;816;                    Vila Real de Santo António;19156;9153;10003;20596;9877;10719;7453;5;5900;19625;19609;16;39;8149
276920000;6;81601;                        Vila Nova de Cacela;3902;1877;2025;4327;2111;2216;1598;1;1257;5570;5569;1;9;3780
277102000;6;81602;                        Vila Real de Santo António;11946;5687;6259;11519;5463;6056;4656;4;3641;8026;8013;13;14;2720
277394000;6;81603;                        Monte Gordo;3308;1589;1719;4750;2303;2447;1199;0;1002;6029;6027;2;16;1649
