ordem;nivel;cod_dim2;Zona Geográfica;População residente - Total;População residente - H;População residente - M;População presente - Total;População presente - H;População presente - M;Famílias - Clássicas ;Famílias - Institucionais;Núcleos familiares ;Alojamentos familiares - Total ;Alojamentos familiares - Clássicos;Alojamentos familiares - Não clássicos;Alojamentos colectivos;Edifícios clássicos
251418000;5;207;                    Cuba;4878;2384;2494;4792;2342;2450;1853;5;1455;3032;3012;20;14;2956
251419000;6;20701;                        Cuba;3306;1616;1690;3250;1587;1663;1253;3;978;1863;1854;9;10;1808
251596000;6;20702;                        Faro do Alentejo;591;308;283;576;299;277;212;0;189;285;282;3;0;273
251631000;6;20703;                        Vila Alva;514;231;283;508;230;278;182;2;143;422;418;4;3;419
251681000;6;20704;                        Vila Ruiva;467;229;238;458;226;232;206;0;145;462;458;4;1;456
251749000;5;208;                    Ferreira do Alentejo;8255;4021;4234;7987;3863;4124;3334;5;2523;5185;5157;28;13;4873
251750000;6;20801;                        Alfundão;863;449;414;844;439;405;374;0;265;570;569;1;0;552
251812000;6;20802;                        Ferreira do Alentejo;4696;2222;2474;4555;2133;2422;1822;5;1396;2788;2765;23;10;2519
252068000;6;20803;                        Figueira dos Cavaleiros;1346;675;671;1289;638;651;558;0;434;786;785;1;0;765
252165000;6;20804;                        Odivelas;542;270;272;519;263;256;235;0;173;427;426;1;1;426
252226000;6;20805;                        Peroguarda;364;184;180;349;175;174;142;0;110;288;287;1;2;286
252256000;6;20806;                        Canhestros;444;221;223;431;215;216;203;0;145;326;325;1;0;325
252299000;5;209;                    Mértola;7274;3593;3681;7051;3463;3588;3137;4;2205;8469;8467;2;26;8354
252300000;6;20901;                        Alcaria Ruiva;849;417;432;820;400;420;363;0;257;881;881;0;1;881
252422000;6;20902;                        Corte do Pinto;857;430;427;843;427;416;387;0;267;1571;1571;0;5;1573
252574000;6;20903;                        Espírito Santo;335;169;166;354;181;173;161;0;107;1122;1122;0;0;1120
252639000;6;20904;                        Mértola;2824;1392;1432;2728;1332;1396;1163;2;841;2189;2188;1;13;2074
252952000;6;20905;                        Santana de Cambas;797;391;406;729;351;378;325;2;223;1062;1062;0;5;1065
253129000;6;20906;                        São João dos Caldeireiros;567;275;292;559;267;292;242;0;176;489;489;0;2;489
253273000;6;20907;                        São Miguel do Pinheiro;596;298;298;579;287;292;291;0;183;696;696;0;0;693
253379000;6;20908;                        São Pedro de Solis;229;109;120;225;109;116;103;0;80;198;198;0;0;198
253436000;6;20909;                        São Sebastião dos Carros;220;112;108;214;109;105;102;0;71;261;260;1;0;261
253509000;5;210;                    Moura;15167;7447;7720;14687;7183;7504;5833;9;4516;10626;10585;41;22;9705
253510000;6;21001;                        Amareleja;2564;1261;1303;2452;1192;1260;945;2;751;1742;1729;13;3;1704
253623000;6;21002;                        Póvoa de São Miguel;888;456;432;858;440;418;346;0;280;874;873;1;0;861
253710000;6;21003;                        Safara;1078;524;554;1074;514;560;415;1;318;764;763;1;2;762
253773000;6;21004;                        Moura (Santo Agostinho);4344;2145;2199;4176;2075;2101;1633;0;1312;2481;2470;11;3;1988
253899000;6;21005;                        Santo Aleixo da Restauração;793;389;404;780;381;399;334;0;240;856;856;0;1;826
253989000;6;21006;                        Santo Amador;412;190;222;418;192;226;180;0;140;386;386;0;0;363
254030000;6;21007;                        Moura (São João Baptista);4075;1967;2108;3924;1881;2043;1583;5;1178;2558;2557;1;11;2251
254138000;6;21008;                        Sobral da Adiça;1013;515;498;1005;508;497;397;1;297;965;951;14;2;950
254238000;5;212;                    Ourique;5389;2656;2733;5223;2573;2650;2308;4;1660;4175;4170;5;12;3967
254239000;6;21201;                        Conceição;86;44;42;85;44;41;48;0;26;186;186;0;1;186
254267000;6;21202;                        Garvão;731;352;379;691;331;360;331;0;234;574;574;0;0;568
254307000;6;21203;                        Ourique;2874;1431;1443;2789;1388;1401;1183;1;885;1956;1954;2;8;1798
254475000;6;21204;                        Panóias;496;248;248;487;245;242;208;1;148;396;396;0;1;390
254520000;6;21205;                        Santa Luzia;352;165;187;347;162;185;147;1;105;299;299;0;1;288
254550000;6;21206;                        Santana da Serra;850;416;434;824;403;421;391;1;262;764;761;3;1;737
