ordem;nivel;cod_dim2;Zona Geográfica;População residente - Total;População residente - H;População residente - M;População presente - Total;População presente - H;População presente - M;Famílias - Clássicas ;Famílias - Institucionais;Núcleos familiares ;Alojamentos familiares - Total ;Alojamentos familiares - Clássicos;Alojamentos familiares - Não clássicos;Alojamentos colectivos;Edifícios clássicos
164726000;6;50506;                        Medelim;272;126;146;263;121;142;135;0;85;379;379;0;1;373
164749000;6;50507;                        Monfortinho;536;251;285;494;232;262;267;0;180;631;631;0;6;609
164792000;6;50508;                        Monsanto;829;369;460;884;389;495;412;1;250;1260;1260;0;1;1253
164877000;6;50509;                        Oledo;355;162;193;352;160;192;176;0;109;422;422;0;0;419
164898000;6;50510;                        Penha Garcia;748;361;387;726;347;379;363;1;242;1069;1069;0;1;1059
164961000;6;50511;                        Proença-a-Velha;224;104;120;228;108;120;103;1;74;370;370;0;1;371
164988000;6;50512;                        Rosmaninhal;537;261;276;531;265;266;268;0;184;982;982;0;3;985
165082000;6;50513;                        Salvaterra do Extremo;170;79;91;169;80;89;91;0;58;455;455;0;0;454
165116000;6;50514;                        São Miguel de Acha;560;272;288;584;286;298;266;0;185;582;582;0;1;579
165146000;6;50515;                        Segura;176;87;89;171;85;86;95;0;62;312;312;0;0;312
165173000;6;50516;                        Toulões;237;113;124;231;108;123;132;0;88;454;454;0;0;454
165203000;6;50517;                        Zebreira;873;421;452;868;417;451;344;1;271;1071;1063;8;1;1063
165280000;5;507;                    Penamacor;5682;2760;2922;5354;2596;2758;2649;3;1811;6525;6525;0;10;6373
165281000;6;50701;                        Águas;300;148;152;290;145;145;154;0;100;395;395;0;0;395
165302000;6;50702;                        Aldeia do Bispo;676;333;343;583;291;292;307;0;220;783;783;0;0;778
165330000;6;50703;                        Aldeia de João Pires;195;97;98;184;89;95;102;0;70;329;329;0;0;329
165357000;6;50704;                        Aranhas;353;180;173;346;177;169;184;0;106;450;450;0;0;450
165375000;6;50705;                        Bemposta;120;59;61;111;54;57;59;0;42;199;199;0;0;197
165394000;6;50706;                        Benquerença;575;277;298;548;262;286;285;0;186;820;820;0;0;819
165428000;6;50707;                        Meimão;280;139;141;267;131;136;141;0;97;300;300;0;0;299
165448000;6;50708;                        Meimoa;373;179;194;351;170;181;178;0;122;417;417;0;0;415
